Application ID,Organisation,Emissions impact,Delivery feasibility,Eligibility statement,Outcome
NZ-2024-001,Team A1 Ltd,"We will avoid 28,000 tonnes of CO2e per year, independently verified by DNV.",The pilot has 3 signed partners and a funded 12-month rollout starting in September.,We are a for-profit company founded in 2020 and are registered in the UK.,Shortlisted
NZ-2024-002,Team B2 Ltd,"Deploying our heat-recovery system saves 16,500 MWh annually, third-party certified.",We have a live deployment at 8 sites and a detailed month-by-month delivery plan.,We are a for-profit company founded in 2018 and are registered in the UK.,Shortlisted
NZ-2024-003,Team C3 Ltd,"Deploying our heat-recovery system saves 30,500 MWh annually, third-party certified.",The pilot has 2 signed partners and a funded 12-month rollout starting in September.,We are a for-profit company founded in 2022 and are registered in the UK.,Not shortlisted
NZ-2024-004,Team D4 Ltd,"We will avoid 17,000 tonnes of CO2e per year, independently verified by the Carbon Trust.",We have a live deployment at 8 sites and a detailed month-by-month delivery plan.,We are a for-profit company founded in 2019 and are registered in the UK.,Shortlisted
NZ-2024-005,Team E5 Ltd,We aim to be net zero and think we can cut emissions significantly over time.,We hope to find partners and customers in the near future.,We are a for-profit company founded in 2018 and are registered in the UK.,Not shortlisted
NZ-2024-006,Team F6 Ltd,"Deploying our heat-recovery system saves 15,500 MWh annually, third-party certified.",Grant funding is secured and 3 paying customers are contracted for phase one.,We are a for-profit company founded in 2022 and are registered in the UK.,Shortlisted
NZ-2024-007,Team G7 Ltd,"We will avoid 34,000 tonnes of CO2e per year, independently verified by SGS.",We have a live deployment at 9 sites and a detailed month-by-month delivery plan.,We are a for-profit company founded in 2022 and are registered in the UK.,Not shortlisted
NZ-2024-008,Team H8 Ltd,"Our pilot cut process emissions by 35% against a measured 2023 baseline, audited by the Carbon Trust.",Grant funding is secured and 5 paying customers are contracted for phase one.,We are a for-profit company founded in 2018 and are registered in the UK.,Shortlisted
NZ-2024-009,Team I9 Ltd,"Deploying our heat-recovery system saves 34,500 MWh annually, third-party certified.",We have a live deployment at 3 sites and a detailed month-by-month delivery plan.,We are a for-profit company founded in 2018 and are registered in the UK.,Shortlisted
NZ-2024-010,Team J10 Ltd,We aim to be net zero and think we can cut emissions significantly over time.,We plan to figure out delivery once we receive funding.,We are a for-profit company founded in 2021 and are registered in the UK.,Not shortlisted
NZ-2024-011,Team K11 Ltd,"Deploying our heat-recovery system saves 7,500 MWh annually, third-party certified.",We have a live deployment at 7 sites and a detailed month-by-month delivery plan.,We are a for-profit company founded in 2022 and are registered in the UK.,Not shortlisted
NZ-2024-012,Team L12 Ltd,"Our pilot cut process emissions by 25% against a measured 2023 baseline, audited by an ISO 14064 auditor.",We have a live deployment at 3 sites and a detailed month-by-month delivery plan.,We are a for-profit company founded in 2018 and are registered in the UK.,Shortlisted
NZ-2024-013,Team M13 Ltd,"Our pilot cut process emissions by 63% against a measured 2023 baseline, audited by SGS.",We have a live deployment at 8 sites and a detailed month-by-month delivery plan.,We are a for-profit company founded in 2023 and are registered in the UK.,Shortlisted
NZ-2024-014,Team N14 Ltd,"Our pilot cut process emissions by 30% against a measured 2023 baseline, audited by DNV.",We have a live deployment at 2 sites and a detailed month-by-month delivery plan.,We are a for-profit company founded in 2019 and are registered in the UK.,Shortlisted
NZ-2024-015,Team O15 Ltd,Our technology is world-leading and will make a huge climate impact.,The team is confident it can deliver but has no concrete plan yet.,We are a for-profit company founded in 2024 and are registered in the UK.,Not shortlisted
NZ-2024-016,Team P16 Ltd,"We will avoid 31,000 tonnes of CO2e per year, independently verified by an ISO 14064 auditor.",The pilot has 8 signed partners and a funded 12-month rollout starting in September.,We are a for-profit company founded in 2024 and are registered in the UK.,Shortlisted
